Unnamed: 0,Comment,Rating
90,"As said , this lap got the exact features you need with high performance rate. It comes in 53k which itself is a great discount you can get for this great lap. Its really smooth,light weight and also good performance.",5
91,THE DISPALY IS GOOD BUT IT IS A LED BACKLIT BUT IF IT IS AN IPS DIAPLAY THIS COULD HAVE BEEN EVEN BETTER,4
92,It is very smooth and display I didn't expect that good nice display and keypad and touch pad are at its best. Worth for the price,5
93,"Overall a good laptop, the only issue is battery life is very less",4
94,Everything is fine. looks are also premium. Battery life is short in it battery life I didn't like. light Weight laptop,5
95,Excellent performance,5
96,The product was delivered on time as promised. The packaging was good. The courier made it a perfect delivery and he opened the package ships that we can check all are inorder. The laptop works perfectly. I am fully satisfied.,5
97,Good,5
98,The delivery was very fast for me ….coming to laptop this is value for ur money and everything was excellent and coming to pros performance was good ..it’s boots in 3 sec that’s an excellent thing …have multiple of apps we can access easily to install … display is good and coming to cons camera was not that good but below avg and battery is ok we can expect 4-5 hours with charge over all its a good laptop for programming and working and not for gamers,5
99,The laptop is really good and also the battery …! As per the feedback they told the display could be better bt when I compare with my Thinkpad laptop it’s far better and good… i5 at this price is good for money …! The only worried part is there is No Finger Print option 😔,4
100,"As said , this lap got the exact features you need with high performance rate. It comes in 53k which itself is a great discount you can get for this great lap. Its really smooth,light weight and also good performance.",5
101,THE DISPALY IS GOOD BUT IT IS A LED BACKLIT BUT IF IT IS AN IPS DIAPLAY THIS COULD HAVE BEEN EVEN BETTER,4
102,It is very smooth and display I didn't expect that good nice display and keypad and touch pad are at its best. Worth for the price,5
103,"Overall a good laptop, the only issue is battery life is very less",4
104,Everything is fine. looks are also premium. Battery life is short in it battery life I didn't like. light Weight laptop,5
105,Excellent performance,5
106,The product was delivered on time as promised. The packaging was good. The courier made it a perfect delivery and he opened the package ships that we can check all are inorder. The laptop works perfectly. I am fully satisfied.,5
107,Good,5
108,Superb performance,5
109,I am so happy with the laptop in all aspects.,5
110,Expect for Camera quality everything else is good in this price range. Build quality is excellent. Has backlit keyboard. Overall a good buy.,4
111,Decent Product In This Price Range.,5
112,Good laptop,5
113,"Got it in 2 days. Missed looking into the return policy. Its replacement only.
The Screen is just 141 ppi. You can easily see all the pixels even from a distance. Specs are all good, but it misses out big on screen. Screen is after all, you are gonna see always. Don't buy at this price point of 50k.",1
114,"Got this product for 50240 on big billion days... And this is awesome... Everything just best... Writing this review after 1 month usage.. sound quality is top notch.. you can get battery issues if you are using heavy softwares in it and it also dissent have additional slot for storage upgradation but you can upgrade ram if you want more storage you have to buy an additional hdd.. You can't get anything better than this in this price range... I haven't flint any hearing issues or anything in ...
READ MORE",5
115,"Deducting 1 start due to below two features.
1. Battery life, if you using heavy tool and multi tasking it last for around 3-5 hours from first day and normal browsing lasts for 5-6 he's.
2. It's display. I have been using dell laptop for my office work. Now bought this for personal use. Could see a bit yellowish display, which takes time to adjust for my use. Also giving strain to my eyes.

Good things.
1. Performance in this range.
2. Slim and lookwise is good.
3. Light weight and key...
READ MORE",4
116,Good working,5
117,Good one value for money,5
118,Ohk good laptop with unbelievable performance,3
119,Delivery is so fast... boot time is 4 sec... very lightweight easy to handle....do all my hard work without any problem..fully satisfied,5
120,good one for students and daily usage...overall performance was good just a small battery issue but we can adjust with it...value for money,5
121,Good,5
122,Speaker quality is really bad,1
123,"Is that only me who got poor hardware .except that everything seems fine .very bad lenovo experience and also feeling bad.. touchpad and keyboard is poorer than 26000 asus's laptop.
P.s:it it quite expensive in perspective of what they give",3
124,It's good product.,5
125,Finger print was not available now,2
126,Good product,5
127,Almost good,3
128,Wow..it's amazing..,5
129,Superb,4
130,Excellent product.Nice experience.,5
131,Good,5
132,"The laptop is v v good, looks slim and weight less.",5
133,Good product,4
134,"Camera quality is poor , rest all good , very fast suits perfectly with my work style",4
135,Awesome in this price range,4
136,Good performance...,5
137,"Tooo good, smoothly work, key ped, features are also best.",5
138,"Very light and looks clean, performance so good so far , keyboard back light mentioned in product details is not there(checking options to enable if any). Ports are limited.",5
139,A very good laptop with good packing,5
140,Value for money product,5
141,Worst experience screen issue..,1
142,Good,5
143,Dissatisfied,1
144,Superb performance,5
145,I am so happy with the laptop in all aspects.,5
146,Expect for Camera quality everything else is good in this price range. Build quality is excellent. Has backlit keyboard. Overall a good buy.,4
147,Decent Product In This Price Range.,5
148,Good laptop,5
149,"Got it in 2 days. Missed looking into the return policy. Its replacement only.
The Screen is just 141 ppi. You can easily see all the pixels even from a distance. Specs are all good, but it misses out big on screen. Screen is after all, you are gonna see always. Don't buy at this price point of 50k.",1
150,"Got this product for 50240 on big billion days... And this is awesome... Everything just best... Writing this review after 1 month usage.. sound quality is top notch.. you can get battery issues if you are using heavy softwares in it and it also dissent have additional slot for storage upgradation but you can upgrade ram if you want more storage you have to buy an additional hdd.. You can't get anything better than this in this price range... I haven't flint any hearing issues or anything in ...
READ MORE",5
151,"Deducting 1 start due to below two features.
1. Battery life, if you using heavy tool and multi tasking it last for around 3-5 hours from first day and normal browsing lasts for 5-6 he's.
2. It's display. I have been using dell laptop for my office work. Now bought this for personal use. Could see a bit yellowish display, which takes time to adjust for my use. Also giving strain to my eyes.

Good things.
1. Performance in this range.
2. Slim and lookwise is good.
3. Light weight and key...
READ MORE",4
152,Good working,5
153,Good one value for money,5
154,"A complete value for money product. I checked out almost all the laptops in this range but no one offered such specs with good build quality. Yes there's a little heating issue and the track pad could have been better but otherwise the performance is buttery smooth. I was going for Dell Inspiron 5502 which gave me 8 GB RAM coupled with 2 GB Nvidia 340 but here I got 16 GB of RAM coupled with 2 GB Nvidia 450. It's a steal deal with Ryzen 5 5500U processor. And guys, do check out reviews, you'l...
READ MORE",5
155,Value for money battery backup upto 7 hours...better performance,5
156,"No laptop offers Ryzen 5500U with Nvidia MX450 at this price. Looks are great, 16 gigs of RAM and it can be the perfect laptop for working professionals who also wish to play a few games on it. Prolonged gaming sessions do heat up this laptop crazy sometimes, but again it is never meant for hardcore games anyways.",5
157,Laptop is value for money but it's battery backup is not good .,3
158,"Go for it ...it is really value for money product, battery backup is awesome , performance is also good no lag till now...i don't mind there is no backlit keyboard as it is useless for me my all works autocad and coding works are smooth ...overall go for it 💯🔥",5
159,"Super and awesome laptop in my life i have ever seen under this 50k you must buy this for office and home student ,sound,display,batterlife,touch pad,keyboard are excellent . Ssd is full that's why full fast performance ,cam is good ,better camera.this 63000 in CTS Secunderabad hyd ,best at this rate , you must buy in this time because it's rate is lessed by this time .
Just excellent ,wow.",5
160,"The laptop is really good. I'm in love with it 😅. Display is good but viewing angles are not good, you have to adjust it with your position. Backlit keyboard are not here but that's not a big deal. It's price to performance ratio is great and the looks are also great & the sound quality is also great. Also with the reliable brand like HP.",5
161,"This is the one.......out there. I mean bought it out of a doubt,but once i got my hands on it . Its absolutely a legend .. without any concerns just buy it, it has everything you could ask for in a thin and compact laptop",5
162,Display is not that great. But okay for indoor usage and processing is great. Overall great for office work and learning.,4
163,"Nice laptop
Processor is good , performance is good
Display quality is average
Battery is mind blowing
Must but it",4
164,Everything is awesome except display. display is average,5
165,"I am using Since last month.

Every in knows the pro.

But cons are below

Battery is very good all the time but when you are in zoom meeting 100% drain out within 3hr.

Laptop is very delicate, specifically back panel bend like plastic toy. Laptop more then 50k doesn't expect this build quality.

I will updates on timey basis my observation",3
166,Over All Fit 👌,5
167,Thanks,4
168,"Go for it ...it is really value for money product, battery backup is awesome , performance is also good no lag till now...i don't mind there is no backlit keyboard as it is useless for me my all works autocad and coding works are smooth ...overall go for it 💯🔥",5
169,"Super and awesome laptop in my life i have ever seen under this 50k you must buy this for office and home student ,sound,display,batterlife,touch pad,keyboard are excellent . Ssd is full that's why full fast performance ,cam is good ,better camera.this 63000 in CTS Secunderabad hyd ,best at this rate , you must buy in this time because it's rate is lessed by this time .
Just excellent ,wow.",5
170,"The laptop is really good. I'm in love with it 😅. Display is good but viewing angles are not good, you have to adjust it with your position. Backlit keyboard are not here but that's not a big deal. It's price to performance ratio is great and the looks are also great & the sound quality is also great. Also with the reliable brand like HP.",5
171,"This is the one.......out there. I mean bought it out of a doubt,but once i got my hands on it . Its absolutely a legend .. without any concerns just buy it, it has everything you could ask for in a thin and compact laptop",5
172,Display is not that great. But okay for indoor usage and processing is great. Overall great for office work and learning.,4
173,"Nice laptop
Processor is good , performance is good
Display quality is average
Battery is mind blowing
Must but it",4
174,Everything is awesome except display. display is average,5
175,"I am using Since last month.

Every in knows the pro.

But cons are below

Battery is very good all the time but when you are in zoom meeting 100% drain out within 3hr.

Laptop is very delicate, specifically back panel bend like plastic toy. Laptop more then 50k doesn't expect this build quality.

I will updates on timey basis my observation",3
176,Over All Fit 👌,5
177,Thanks,4
178,"Mind blowing performance, massive design, good sound quality, display is ok overall EXCELLENT product",5
179,"It is the best laptop for stadent at 50000

It work very good",5
180,Best product. Hp,5
181,Satisfied... ❤️❤️❤️,5
182,Awesome Product 🔥,5
183,"Used the product for around 10hrs now.

Cons:-
- Takes some time to turn on.
- Don't expect to used on high brightness because battery drains real quick.
- Don't expect to play games on high resolution.

Other than that I haven't experienced any problems.
But I will keep updating.",4
184,Satisfaction 🤟,5
185,"After using it for 6 days can say performance wise this is a must buy. Can play games though on medium settings. Because of SSD, it boots up fast... Mine is 7 seconds on average. Much is being talked about display but it is more than good enough. Keep in mind it doesn't have backlit keyboard.",5
186,It's okey purchase for normal users,4
187,Good laptop go for it. ❣️,5
188,the product is deliver brand new and all the things are good . when I am ordering the lapi I worried that is buying electronics online is safe but I think its all safe so if you worried about that so don't worry all thing are good so you choose the first buyers from whom I buy the laptop .,5
189,product is also very good but not completely good,4
190,Backlit keyboard should be there and display quality should be better. Others it is a great product.,4
191,"Mind blowing performance, massive design, good sound quality, display is ok overall EXCELLENT product",5
192,"It is the best laptop for stadent at 50000

It work very good",5
193,Best product. Hp,5
194,Satisfied... ❤️❤️❤️,5
195,Awesome Product 🔥,5
196,"Used the product for around 10hrs now.

Cons:-
- Takes some time to turn on.
- Don't expect to used on high brightness because battery drains real quick.
- Don't expect to play games on high resolution.

Other than that I haven't experienced any problems.
But I will keep updating.",4
197,Satisfaction 🤟,5
198,"After using it for 6 days can say performance wise this is a must buy. Can play games though on medium settings. Because of SSD, it boots up fast... Mine is 7 seconds on average. Much is being talked about display but it is more than good enough. Keep in mind it doesn't have backlit keyboard.",5
199,It's okey purchase for normal users,4
200,Good laptop go for it. ❣️,5
201,"Everything’s so far good used for 30 hours nearly ..
hi speed ssd
good display
Commendable cpu performance with ram management
No heating so far even on gaming
The only cons is sound .. if one can deal with it better go with this
The thing I like about this laptop is u can use it on office work and still get a performance on par if not exceeding with a budget gaming laptop which has that flashy design overall .. so I bought it. .. one more thing flipkart delivery is nice
Update- it’s be...
READ MORE",4
202,"I have been using this laptop for the past 1 month and so far I haven't faced any issues with this. I will mention down the pros and cons of this laptop below:

Pros:
1. Ryzen 5500U Processor having 6 cores and 12 threads which gives a very snappy performance overall. I haven't faced any lags so far. It handles all the heavy software and good at multitasking also. As this a low-powered processor having a TDP of max 25 that the thermal management on this has been great so far. The laptop does ...
READ MORE",4
203,"Fast as lightning
Ssd port is single
Ram port is double
8 gb in one slot, one slot empty.
Working fine with hperx 16 gb ddr4 2666mhz ram.( Warranty will be void if you open the laptop base panel)
Csgo runs fine.
Windows is pre installed, home edition.
Webcam is not good but I usually keep that taped up so no worries there.
Display is pretty good
All in all I will call this one the mid range king.",5
204,"I was eyeing for this laptop since its announcement.
Earlier I was using a i3 5th gen processor laptop which is as slow as a snail.

The machine highlights after using it for the whole day

1.The performance is great and snappy
2. The battery life is 4-6 hours at normal usage
3. Boot time is around 10 seconds
4. The build quality is normal.
5. The look is quite simple and professional
6. The screen quality is great for the price
7. Overall it's a great laptop for the price

Ram and ssd is...
READ MORE",5
205,"Review after 5 days usage..
Searching for official and gaming purpose combo and came across Aspire7 Ryzen 5000 series launch on 26 Feb ordered within 4 hours.
Very neat and simple design, No heating issue, no MS office..
Processor & Speed - Very good
Only one SSD slot
Wifi connectivity is good
Build quality is good
Battery - Very good (6 -7 hours on normal use)
Display - FHD Good
Sound - Good

Flipkart packaging and delivery was good and on time.",5
206,"And what a lappy! In the beginning I was skeptical about Ryzen processor because I have always used Intel. But I don't regret a bit as this is the best processor for this range.

Design: minimilistic design, smooth and clean, backlit keyboard

Performance: top notch performance, the 5000 U processor is more than enough to do your daily work and also inspire you in playing good games.

I bought fifa 21 which is a high graphics game and the processor has made it look like a cake walk. Amazing g...
READ MORE",5
207,"First things first, Its the only laptop with such balanced yet powerful configuration.
If you go with thin and light type, it can only be useful in normal uses and not for high end gaming but has great battery like 6+ hrs. And if u consider gaming laptops with H series processors, we can't expect battery above 3-4 hrs even under light usage due to higher TDP. And thats where this laptop shines, you can play almost all games in this, plus when you just want to do normal work , it can lasts u f...
READ MORE",4
208,"Pros:-
•Awesome professional look despite of being a gaming laptop
•Sleek and minimalistic design
•Powerful processor but consumes less power as it is an U series processor (less TDP)
•Lightning fast boot time
•Awesome keybord feel and decent backlit (white)
•Good thermal management and open air vents and exhaust

Cons:-
•Build quality, this is a major issue for me as I was looking for more sturdier laptop (took a slight dent while my phone fell on it)
•Weight distribution could have been bet...
READ MORE",4
209,"I'm writing this after a month of usage (gaming+editing+office+coding)
Pros :
1) Ryzen 5 5500u is way better than the older 3500h and you can actually feel the difference (my friend have 3500h variant).
2) 1660 gfx card under this price segment is a bang for buck. I had no problems playing AAA games with maxed graphics at 50+ fps. Older games like GTA 5, CSGO etc are smoother than ever. Even Minecraft with heavy texture packs runs smoothly.
3) Editing ofcourse you can edit efficiently as the...
READ MORE",5
210,"This Laptop is excellent for the price.
Build Quality is OK. Hard plastic is used in this laptop. Not like HP laptops which uses cheap plastics.
Pros-
1. Battery life- you can easily get around 6 hrs of backup on normal use like browsing, coding, youtube, ms office work etc.
2. Performance- Performance is good, considering its a 'U' type processor which is battery efficient. I played Horizon zero dawn at low settings i got 60fps and on medium i got around 45-50 fps.
3. Heating- This model...
READ MORE",4
211,"Everything’s so far good used for 30 hours nearly ..
hi speed ssd
good display
Commendable cpu performance with ram management
No heating so far even on gaming
The only cons is sound .. if one can deal with it better go with this
The thing I like about this laptop is u can use it on office work and still get a performance on par if not exceeding with a budget gaming laptop which has that flashy design overall .. so I bought it. .. one more thing flipkart delivery is nice
Update- it’s be...
READ MORE",4
212,"I have been using this laptop for the past 1 month and so far I haven't faced any issues with this. I will mention down the pros and cons of this laptop below:

Pros:
1. Ryzen 5500U Processor having 6 cores and 12 threads which gives a very snappy performance overall. I haven't faced any lags so far. It handles all the heavy software and good at multitasking also. As this a low-powered processor having a TDP of max 25 that the thermal management on this has been great so far. The laptop does ...
READ MORE",4
213,"Fast as lightning
Ssd port is single
Ram port is double
8 gb in one slot, one slot empty.
Working fine with hperx 16 gb ddr4 2666mhz ram.( Warranty will be void if you open the laptop base panel)
Csgo runs fine.
Windows is pre installed, home edition.
Webcam is not good but I usually keep that taped up so no worries there.
Display is pretty good
All in all I will call this one the mid range king.",5
214,"I was eyeing for this laptop since its announcement.
Earlier I was using a i3 5th gen processor laptop which is as slow as a snail.

The machine highlights after using it for the whole day

1.The performance is great and snappy
2. The battery life is 4-6 hours at normal usage
3. Boot time is around 10 seconds
4. The build quality is normal.
5. The look is quite simple and professional
6. The screen quality is great for the price
7. Overall it's a great laptop for the price

Ram and ssd is...
READ MORE",5
215,"Review after 5 days usage..
Searching for official and gaming purpose combo and came across Aspire7 Ryzen 5000 series launch on 26 Feb ordered within 4 hours.
Very neat and simple design, No heating issue, no MS office..
Processor & Speed - Very good
Only one SSD slot
Wifi connectivity is good
Build quality is good
Battery - Very good (6 -7 hours on normal use)
Display - FHD Good
Sound - Good

Flipkart packaging and delivery was good and on time.",5
216,"And what a lappy! In the beginning I was skeptical about Ryzen processor because I have always used Intel. But I don't regret a bit as this is the best processor for this range.

Design: minimilistic design, smooth and clean, backlit keyboard

Performance: top notch performance, the 5000 U processor is more than enough to do your daily work and also inspire you in playing good games.

I bought fifa 21 which is a high graphics game and the processor has made it look like a cake walk. Amazing g...
READ MORE",5
217,"First things first, Its the only laptop with such balanced yet powerful configuration.
If you go with thin and light type, it can only be useful in normal uses and not for high end gaming but has great battery like 6+ hrs. And if u consider gaming laptops with H series processors, we can't expect battery above 3-4 hrs even under light usage due to higher TDP. And thats where this laptop shines, you can play almost all games in this, plus when you just want to do normal work , it can lasts u f...
READ MORE",4
218,"Pros:-
•Awesome professional look despite of being a gaming laptop
•Sleek and minimalistic design
•Powerful processor but consumes less power as it is an U series processor (less TDP)
•Lightning fast boot time
•Awesome keybord feel and decent backlit (white)
•Good thermal management and open air vents and exhaust

Cons:-
•Build quality, this is a major issue for me as I was looking for more sturdier laptop (took a slight dent while my phone fell on it)
•Weight distribution could have been bet...
READ MORE",4
219,"I'm writing this after a month of usage (gaming+editing+office+coding)
Pros :
1) Ryzen 5 5500u is way better than the older 3500h and you can actually feel the difference (my friend have 3500h variant).
2) 1660 gfx card under this price segment is a bang for buck. I had no problems playing AAA games with maxed graphics at 50+ fps. Older games like GTA 5, CSGO etc are smoother than ever. Even Minecraft with heavy texture packs runs smoothly.
3) Editing ofcourse you can edit efficiently as the...
READ MORE",5
220,"This Laptop is excellent for the price.
Build Quality is OK. Hard plastic is used in this laptop. Not like HP laptops which uses cheap plastics.
Pros-
1. Battery life- you can easily get around 6 hrs of backup on normal use like browsing, coding, youtube, ms office work etc.
2. Performance- Performance is good, considering its a 'U' type processor which is battery efficient. I played Horizon zero dawn at low settings i got 60fps and on medium i got around 45-50 fps.
3. Heating- This model...
READ MORE",4
221,"i am not a heavy user. i bought it for study. i don't need dedicated graphics card. but i bought it cause i want to be future proof. laptop is one time investment.
so as of now it was a nice experience. battery stays up to 5-6 hours with normal usage i think (not exactly measured). its a good looking laptop. happy with it.",4
222,"My Opinion
Amazing product. Totally worth the price paid for. I've been using the laptop for a month now. Haven't observed any issues so far. Comes with a power efficient processor which does heavy duty tasks effortlessly. However, prolonged gaming is not recommended as it heats up after 4-5 hrs of usage. Regular day to day tasks work like charm. A must buy for Students, Office users and occasional gamers",5
223,"Very neat and simple design for a gaming laptop, No heating issue.. Can be used for even official purpose, no MS office.. Value for money product..
Processor & Speed - Very good
Build quality - Good (Plastic)
Battery - Very good (6 hours on normal use)
Display - Good (Anti-glare)
Sound - Average",5
224,"Review after 70 days. The laptop is incredibly good. All the programs works with ease. I have installed Autocad 2020, solidworks 2020 and Inventor 2020. The programs works without any trouble without charging. Battery is extremely good. The performance seems far better than the hp pavilion laptop with the same specs that I used before. The laptop boots up in lightning speed. The cooling system of this laptop is very good. The only con is speaker sound, but it least bothered me. Must go for th...
READ MORE",5
225,"performance beast ,turn on time is 9 sec,display smoothness pretty amezing ,most of all at night backlit doing awsome work it's really good",4
226,"It's good enough for almost anyone, So if you aren't bothered by a slightly bulki looking laptop then it's the best computer for this price range, try getting it with gst bill as you can get this for almost 46k... It's good for any workload but there is a bunch of pre installed apps so delete them when you buy (was not expecting that)",4
227,I love this product . In this price range that much performance is hats off Acer. Acer's best Product. Love you 3000,5
